Location,Medicaid
Alabama,0.195
Alaska,0.213
Arizona,0.224
Arkansas,0.273
California,0.263
Colorado,0.185
Connecticut,0.206
Delaware,0.214
District of Columbia,0.277
Florida,0.18
Georgia,0.174
Hawaii,0.175
Idaho,0.166
Illinois,0.19
Indiana,0.176
Iowa,0.194
Kansas,0.141
Kentucky,0.265
Louisiana,0.293
Maine,0.184
Maryland,0.185
Massachusetts,0.232
Michigan,0.224
Minnesota,0.179
Mississippi,0.234
Missouri,0.15
Montana,0.212
Nebraska,0.133
Nevada,0.193
New Hampshire,0.141
New Jersey,0.167
New Mexico,0.329
New York,0.263
North Carolina,0.182
North Dakota,0.115
Ohio,0.207
Oklahoma,0.176
Oregon,0.221
Pennsylvania,0.202
Rhode Island,0.235
South Carolina,0.195
South Dakota,0.133
Tennessee,0.206
Texas,0.169
Utah,0.101
Vermont,0.232
Virginia,0.119
Washington,0.209
West Virginia,0.264
Wisconsin,0.166
Wyoming,0.102
Puerto Rico,0.479
